Activity,Individuals,Frequency
A432,P128/P296/P228/P91/P72/P352/P192/P181/P67/P208/P243/P346/P410/P103/P148/P328/P327/P48/P114/P58/P312/P258/P46/P199/P143/P26/P264/P349/P338/P397/P355/P39/P190/P158/P367/P116/P30/P109/P341/P290,1
A433,P297/P209/P128/P296/P228/P91/P72/P352/P192/P174/P181/P67/P208/P243/P103/P148/P328/P327/P48/P114/P58/P312/P199/P143/P280/P26/P264/P349/P397/P278/P355/P39/P427/P158/P367/P116/P190/P93/P30/P109/P341/P342/P290,1
A434,P297/P209/P128/P296/P228/P91/P72/P241/P352/P192/P111/P174/P67/P208/P243/P346/P237/P148/P328/P327/P87/P114/P58/P312/P258/P46/P199/P143/P26/P264/P349/P338/P397/P278/P355/P427/P363/P158/P116/P93/P109/P341/P342/P290,1
A435,P297/P112/P208/P143/P133/P192/P349/P328,45
A436,P343/P351/P323/P403/P291,4
A437,P297/P39/P128/P296/P258/P46/P143/P190/P352/P192/P109/P341/P328/P397/P114,45
A438,P39/P181/P243/P143/P72/P410/P352/P192/P109/P290/P114,12
A439,P181/P143/P72/P352/P237/P32,12
A440,P297/P112/P128/P280/P424,12
A441,P297/P228/P104/P352/P192/P92/P89/P237/P97/P48/P46/P143/P182/P261/P278/P355/P427/P158/P150/P162/P109/P56/P279,4
A442,P133/P44/P178/P181/P119/P148/P13/P240/P323/P48/P330/P143/P264/P182/P129/P212/P28/P216/P203/P282/P127/P172/P261/P155/P367/P80/P93/P343,4
A443,P15/P185/P259/P257,12
A444,P405/P261,12
A445,P181/P75/P299/P350/P115,12
A446,P399/P37/P420/P171/P123/P65,1
A447,P399/P37/P420/P206/P171/P123/P65,1
A448,P317/P399/P37/P324/P420/P237/P206/P171/P123/P65/P110,1
A449,P11/P399/P325/P383/P206/P171/P428/P153/P123/P100/P257,1
A450,P317/P399/P37/P324/P106/P420/P171/P123/P65,1
A451,P399/P37/P206/P171/P123/P65,1
A452,P80/P158/P399/P37/P72/P237/P171/P284/P123/P65,1
A453,P426/P399/P37/P143/P420/P171/P123/P65,1
A454,P317/P217/P399/P37/P44/P247/P324/P106/P109/P237/P148/P171/P123/P334/P65/P110,1
A455,P100/P37/P325/P383/P171/P153/P428/P123/P65,1
A456,P317/P217/P37/P324/P106/P206/P171/P123/P65/P110,1
A457,P37/P324/P206/P171/P106/P65/P123,4
A458,P357/P67/P37/P237/P320/P65/P376/P317/P143/P399/P171/P278/P11/P80/P373/P150/P343/P351/P123/P200,1
A459,P195/P96/P149/P37/P221/P364/P44/P123/P358/P191/P324/P206/P165/P140/P354/P65/P376,1
A460,P217/P37/P106/P171/P123/P65,12
A461,P317/P247/P324/P123,4
A462,P292/P362/P218/P304/P207/P420/P210/P345/P301/P196/P123/P401/P370/P326,4
A463,P171/P65/P399/P123,4
A464,P37/P72/P284/P123/P40/P110,4
A465,P399/P37/P420/P171/P123,1
A466,P284/P123,1
A467,P123/P171/P420/P37,1
A468,P65/P171/P37/P123,45
A469,P123/P284/P37,45
A470,P37/P123,200
A471,P237/P123,4
A472,P143/P123,4
A473,P22/P123,4
